	f__0319_6G20	f__A4b	f__Acholeplasmataceae	f__Actinomycetaceae	f__Actinosynnemataceae	f__Aerococcaceae	f__Aeromonadaceae	f__AK1AB1_02E	f__Alcaligenaceae	f__Alteromonadaceae	f__Anaerolinaceae	f__Anaeroplasmataceae	f__auto67_4W	f__Bacillaceae	f__Bacteroidaceae	f__Barnesiellaceae	f__Bifidobacteriaceae	f__Bradyrhizobiaceae	f__Bryobacteraceae	f__BS11	f__Burkholderiaceae	f__Campylobacteraceae	f__Cardiobacteriaceae	f__Carnobacteriaceae	f__Caulobacteraceae	f__Chitinophagaceae	f__Christensenellaceae	f__Chthoniobacteraceae	f__Clostridiaceae	f__Comamonadaceae	f__Coriobacteriaceae	f__Corynebacteriaceae	f__Cryomorphaceae	f__Cyclobacteriaceae	f__Cytophagaceae	f__Dehalobacteriaceae	f__Dermabacteraceae	f__Desulfovibrionaceae	f__Dethiosulfovibrionaceae	f__Dietziaceae	f__Ellin6075	f__Enterobacteriaceae	f__Enterococcaceae	f__Erysipelotrichaceae	f__Erythrobacteraceae	f__EtOH8	f__Eubacteriaceae	f__F16	f__FFCH7168	f__Fibrobacteraceae	f__Fimbriimonadaceae	f__Flavobacteriaceae	f__Fusobacteriaceae	f__Gaiellaceae	f__Gemellaceae	f__Gemmataceae	f__Haliangiaceae	f__Halomonadaceae	f__Helicobacteraceae	f__Hyphomicrobiaceae	f__Intrasporangiaceae	f__Isosphaeraceae	f__Kineosporiaceae	f__Kouleothrixaceae	f__Lachnospiraceae	f__Lactobacillaceae	f__Leptotrichiaceae	f__Leuconostocaceae	f__mb2424	f__Methylobacteriaceae	f__Methylococcaceae	f__Methylocystaceae	f__Microbacteriaceae	f__Micrococcaceae	f__Micromonosporaceae	f__mitochondria	f__Mogibacteriaceae	f__Moraxellaceae	f__Neisseriaceae	f__Nocardiaceae	f__Nocardioidaceae	f__oc28	f__Odoribacteraceae	f__Opitutaceae	f__Oxalobacteraceae	f__Paenibacillaceae	f__Paraprevotellaceae	f__Pasteurellaceae	f__Peptococcaceae	f__Peptostreptococcaceae	f__Phyllobacteriaceae	f__Pirellulaceae	f__Piscirickettsiaceae	f__Planctomycetaceae	f__Planococcaceae	f__Polyangiaceae	f__Porphyromonadaceae	f__Prevotellaceae	f__Propionibacteriaceae	f__Pseudanabaenaceae	f__Pseudomonadaceae	f__Pseudonocardiaceae	f__R4_45B	f__RB40	f__RF16	f__RFP12	f__Rhizobiaceae	f__Rhodobacteraceae	f__Rhodobiaceae	f__Rhodospirillaceae	f__Rikenellaceae	f__Ruminococcaceae	f__S24_7	f__Saprospiraceae	f__Shewanellaceae	f__Sinobacteraceae	f__SJA_101	f__Solirubrobacteraceae	f__Sphingobacteriaceae	f__Sphingomonadaceae	f__Spirochaetaceae	f__Staphylococcaceae	f__Streptococcaceae	f__Streptomycetaceae	f__Succinivibrionaceae	f__Synergistaceae	f__Tissierellaceae	f__Turicibacteraceae	f__Veillonellaceae	f__Verrucomicrobiaceae	f__Victivallaceae	f__WCHB1_25	f__Weeksellaceae	f__Xanthomonadaceae	unclassified
10_0	0	0	0	13	0	0	0	0	3	0	0	0	0	0	154	0	31	0	0	0	0	0	0	0	0	0	6	0	470	0	347	1	0	0	0	0	0	0	0	0	0	148	3	164	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4105	27	0	0	0	0	0	0	0	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	11	2398	1	0	0	0	0	0	0	0	0	0	265	0	0	0	0	10	7	1401	0	0	0	0	345
10_4	0	0	0	3	0	0	0	0	7	0	0	0	0	0	195	0	211	0	0	0	0	0	0	0	0	0	37	0	193	0	18	0	0	0	0	0	0	0	0	0	0	0	1195	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2816	8	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0	0	0	0	0	0	0	3	576	0	0	0	0	0	0	0	0	0	0	734	0	0	0	0	59	0	3702	0	0	0	0	14
10_8	0	0	0	1	0	0	0	0	1	0	0	0	0	0	115	0	1	0	0	0	0	0	0	0	0	0	20	0	14	0	22	0	0	0	0	0	0	0	0	0	0	38	2	144	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4600	4	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	14	1117	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	17	1	3449	0	0	0	0	175
11_0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	19	0	30	0	0	0	0	0	0	0	0	0	2	0	0	0	1002	0	0	0	0	0	0	0	0	0	0	1	3	471	0	0	339	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7519	1	0	0	0	0	0	0	0	17	0	0	121	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	114	1	0	0	0	0	0	0	0	0	0	193	0	0	1	2	0	2	94	0	0	0	0	39
12_0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	958	0	0	0	0	0	0	0	0	0	0	0	7	970	0	0	314	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7126	0	0	0	0	0	0	0	0	33	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	71	0	0	0	0	0	0	0	0	0	0	195	0	0	0	2	0	0	125	0	0	0	0	31
12_4	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0	7	0	121	0	0	0	0	0	0	0	0	0	0	1	16	260	0	0	17	0	0	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0	6215	6	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	3	0	0	0	0	0	0	0	725	0	1	0	1	0	3	1776	0	0	0	0	498
12_8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1362	0	1	0	0	0	0	1	0	0	0	0	125	0	245	0	31	0	0	0	0	0	0	9	0	0	0	33	10	115	0	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3513	2	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	19	244	1129	0	0	0	0	791
13_4	0	0	0	15	0	0	0	0	0	0	0	0	0	0	4	0	619	0	0	0	0	0	0	0	0	0	1	0	6919	0	141	0	0	0	0	0	0	0	0	0	0	113	389	165	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	315	99	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	352	0	0	1	0	0	0	0	0	0	0	120	0	0	0	73	0	17	81	0	0	0	0	521
13_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	196	0	0	0	0	0	0	0	0	0	2	0	230	0	40	0	0	0	0	0	0	0	0	0	0	3079	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	96	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1182	0	0	0	0	0	0	0	0	0	0	4027	0	0	0	0	0	0	8	0	0	0	0	100
14_0	0	0	0	14	0	0	0	0	18	0	0	0	0	0	764	0	20	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	4016	354	122	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4201	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	18	108	0	0	0	0	0	0	0	0	0	0	245	0	2	0	0	0	17	1	0	0	0	0	8
