	g__02d06	g__1-68	g__5-7N15	g__A17	g__Abiotrophia	g__Acholeplasma	g__Acidaminococcus	g__Acinetobacter	g__Actinobaculum	g__Actinomyces	g__Actinoplanes	g__Adlercreutzia	g__Aerococcus	g__Aeromicrobium	g__Aeromonas	g__Afifella	g__Agrobacterium	g__Agromyces	g__Akkermansia	g__Alistipes	g__Allobaculum	g__Alloscardovia	g__Aminobacter	g__Anaerococcus	g__Anaerofustis	g__Anaeroplasma	g__Anaerorhabdus	g__Anaerostipes	g__Anaerotruncus	g__Anaerovibrio	g__Anaerovorax	g__Arcanobacterium	g__Arenimonas	g__Arthrobacter	g__Atopobium	g__Bacillus	g__Bacteroides	g__BF311	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Bosea	g__Brachybacterium	g__Bradyrhizobium	g__Brevundimonas	g__Bulleidia	g__Butyricicoccus	g__Butyricimonas	g__Butyrivibrio	g__Campylobacter	g__Capnocytophaga	g__Cardiobacterium	g__Carnobacterium	g__Catellatospora	g__Catenibacterium	g__Caulobacter	g__cc_115	g__Cellvibrio	g__CF231	g__Chitinophaga	g__Christensenella	g__Chthoniobacter	g__Cloacibacillus	g__Clostridium	g__Collinsella	g__Coprobacillus	g__Coprococcus	g__Corynebacterium	g__Crocinitomix	g__Cupriavidus	g__Dehalobacterium	g__Dermabacter	g__Desulfovibrio	g__Devosia	g__Dialister	g__Dietzia	g__Dokdonella	g__Dorea	g__Dyadobacter	g__Dysgonomonas	g__Eggerthella	g__Ellin506	g__Emticicia	g__Enhydrobacter	g__Enterococcus	g__Epulopiscium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Fibrobacter	g__Fimbriimonas	g__Finegoldia	g__Flavobacterium	g__Flexispira	g__Fluviicola	g__Fusobacterium	g__Gardnerella	g__Gemella	g__Gemmata	g__Granulicatella	g__Haemophilus	g__Halomonas	g__Helcococcus	g__Holdemania	g__Hyphomicrobium	g__Inquilinus	g__Kaistobacter	g__Kineococcus	g__Kingella	g__Kocuria	g__L7A_E11	g__Lachnoanaerobaculum	g__Lachnobacterium	g__Lachnospira	g__Lactobacillus	g__Lactococcus	g__Lautropia	g__Leadbetterella	g__Lentzea	g__Leptotrichia	g__Leuconostoc	g__Luteibacter	g__Luteolibacter	g__Massilia	g__Megasphaera	g__Mesorhizobium	g__Methylobacterium	g__Methylomonas	g__Methylosinus	g__Micrococcus	g__Mitsuokella	g__Mobiluncus	g__Mogibacterium	g__Morganella	g__Moryella	g__Neisseria	g__Niabella	g__Nocardioides	g__Novosphingobium	g__Odoribacter	g__Olsenella	g__Opitutus	g__Oribacterium	g__Oscillospira	g__p-75-a5	g__Paenibacillus	g__Paludibacter	g__Parabacteroides	g__Paraprevotella	g__Parvimonas	g__Pedobacter	g__Peptococcus	g__Peptoniphilus	g__Peptostreptococcus	g__ph2	g__Phascolarctobacterium	g__Phenylobacterium	g__Phycicoccus	g__Pirellula	g__Planctomyces	g__Porphyromonas	g__Prevotella	g__Propionibacterium	g__Proteus	g__Pseudobutyrivibrio	g__Pseudomonas	g__Pseudonocardia	g__Pseudoramibacter_Eubacterium	g__Pseudoxanthomonas	g__Pyramidobacter	g__rc4-4	g__RFN20	g__Rhizobium	g__Rhodobacter	g__Rhodococcus	g__Robinsoniella	g__Roseburia	g__Rothia	g__Rubellimicrobium	g__Ruminobacter	g__Ruminococcus_R	g__Ruminococcus_L	g__Sarcina	g__Scardovia	g__Schwartzia	g__Sedimentibacter	g__Selenomonas	g__Sharpea	g__SHD-231	g__Shewanella	g__Shigella	g__Shuttleworthia	g__Slackia	g__SMB53	g__Sphingobium	g__Sphingomonas	g__Sphingopyxis	g__Spirosoma	g__Staphylococcus	g__Stenotrophomonas	g__Streptococcus	g__Streptomyces	g__Subdoligranulum	g__Succiniclasticum	g__Succinimonas	g__Succinivibrio	g__Sutterella	g__Synergistes	g__Tissierella_Soehngenia	g__Treponema	g__Turicibacter	g__Varibaculum	g__Veillonella	g__Victivallis	g__Virgisporangium	g__WAL_1855D	g__Weeksella	g__Weissella	g__YRC22	unclassified
10_0	0	0	0	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	1401	11	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	154	0	30	0	1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	681	301	11	124	1	0	0	0	0	0	0	6	0	0	443	0	0	0	0	0	0	3	0	148	32	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	134	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	4	0	0	0	0	0	80	1	0	0	947	1439	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	240	0	17	0	0	0	3	0	0	0	10	0	1	0	0	0	0	0	0	1468
10_4	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	3702	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	195	0	211	0	1555	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	674	0	37	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1195	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	80	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	264	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	0	142	0	0	0	7	0	0	0	59	0	0	0	0	0	0	0	0	586
10_8	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	3449	14	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	115	0	1	0	1647	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	12	0	0	494	0	23	74	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	231	1847	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	123	0	19	0	0	0	1	0	0	0	17	0	0	0	0	0	0	0	0	1648
11_0	0	0	0	0	0	0	0	0	0	7	0	12	0	0	0	0	0	0	94	8	0	0	0	1	6	0	0	0	0	0	0	0	0	0	1	0	19	0	30	0	6982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	320	754	1	65	0	0	0	0	0	0	0	0	0	0	124	0	0	133	0	0	0	3	0	1	155	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	1	0	0	0	8	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	333	0	0	0	0	0	0	0	0	2	17	0	0	56	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	370
12_0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	125	2	0	0	0	1	10	0	0	0	0	0	0	0	0	0	1	0	9	0	28	0	6756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	705	0	37	0	0	0	0	0	0	0	0	0	0	100	0	0	132	0	0	0	7	0	0	515	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	6	33	0	0	44	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280
12_4	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1776	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	4827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	635	0	1	140	0	0	0	0	0	0	0	1	0	0	496	0	0	121	0	0	0	16	1	0	146	51	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	1	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	17	0	0	0	0	0	0	1	0	20	0	0	0	80	145	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	648	0	39	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	696
12_8	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	1129	0	0	0	0	0	1	0	2	3	7	0	0	0	0	0	0	0	1362	0	1	8	1977	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	32	313	0	0	0	0	0	1	0	212	0	0	118	0	0	29	0	0	0	10	25	1	75	180	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	10	0	0	0	0	0	0	0	0	146	0	0	0	968	360	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	490	0	29	0	0	0	0	0	0	0	19	0	31	0	0	0	0	0	0	1761
13_4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	81	1	0	0	0	55	0	0	0	0	3	0	0	7	0	0	0	0	4	0	619	0	55	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6307	110	0	4	0	0	0	0	0	0	0	2	0	0	100	0	0	2	0	0	0	389	79	99	161	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	95	54	0	0	0	1	0	0	0	1	0	0	11	41	0	0	0	0	0	0	120	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1385
13_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	36	0	196	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	36	0	75	0	0	0	0	0	0	0	0	0	0	58	0	0	2	0	0	0	0	0	3034	2	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	982	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4027	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221
14_0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	764	0	20	0	3339	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	464	0	17	15	0	0	0	0	0	0	0	4	0	0	300	0	0	0	0	0	0	354	0	3	93	29	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	8	69	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	245	0	5	3	0	0	18	0	0	0	0	0	9	0	0	0	0	0	0	4169
