"fdr_pval","label","taxon"
0.468113,"0_Drug - 0_Placebo","Otu00002"
0.9235078,"0_Drug - 4_Drug","Otu00002"
0.4604455,"0_Placebo - 4_Drug","Otu00002"
0.414002,"0_Drug - 4_Placebo","Otu00002"
0.9289704,"0_Placebo - 4_Placebo","Otu00002"
0.3791679,"4_Drug - 4_Placebo","Otu00002"
0.3542725,"0_Drug - 8_Drug","Otu00002"
0.1896413,"0_Placebo - 8_Drug","Otu00002"
0.3779326,"4_Drug - 8_Drug","Otu00002"
0.1161474,"4_Placebo - 8_Drug","Otu00002"
0.4842711,"0_Drug - 8_Placebo","Otu00002"
0.1424346,"0_Placebo - 8_Placebo","Otu00002"
0.4617963,"4_Drug - 8_Placebo","Otu00002"
0.1321107,"4_Placebo - 8_Placebo","Otu00002"
0.8734696,"8_Drug - 8_Placebo","Otu00002"
0.29842333,"0_Drug - 0_Placebo","Otu00003"
0.92781062,"0_Drug - 4_Drug","Otu00003"
0.28475651,"0_Placebo - 4_Drug","Otu00003"
0.30122479,"0_Drug - 4_Placebo","Otu00003"
0.90887749,"0_Placebo - 4_Placebo","Otu00003"
0.27831137,"4_Drug - 4_Placebo","Otu00003"
0.18780113,"0_Drug - 8_Drug","Otu00003"
0.01646214,"0_Placebo - 8_Drug","Otu00003"
0.22312716,"4_Drug - 8_Drug","Otu00003"
0.03252977,"4_Placebo - 8_Drug","Otu00003"
0.51135238,"0_Drug - 8_Placebo","Otu00003"
0.18699996,"0_Placebo - 8_Placebo","Otu00003"
0.58548943,"4_Drug - 8_Placebo","Otu00003"
0.15269996,"4_Placebo - 8_Placebo","Otu00003"
0.43179748,"8_Drug - 8_Placebo","Otu00003"
0.11532551,"0_Drug - 0_Placebo","Otu00004"
0.48989679,"0_Drug - 4_Drug","Otu00004"
0.42019235,"0_Placebo - 4_Drug","Otu00004"
0.12319998,"0_Drug - 4_Placebo","Otu00004"
0.98219485,"0_Placebo - 4_Placebo","Otu00004"
0.45379443,"4_Drug - 4_Placebo","Otu00004"
