"pval","test","variable","taxon"
0.008877379,"wald","Group","g__Akkermansia"
0.154413171,"wald","Time","g__Akkermansia"
0.339341648,"wald","Group:Time","g__Akkermansia"
0.008877379,"aov","Group","g__Akkermansia"
0.282162371,"aov","Time","g__Akkermansia"
0.213608456,"aov","Group:Time","g__Akkermansia"
0.014295392,"aov.mod","Group","g__Akkermansia"
0.044411498,"wald.time","Placebo","g__Akkermansia"
0.249833086,"wald.time","Drug","g__Akkermansia"
0.132832836,"aov.time","Placebo","g__Akkermansia"
0.464510671,"aov.time","Drug","g__Akkermansia"
0.5281969,"wald","Group","g__Bacteroides"
5.735498e-06,"wald","Time","g__Bacteroides"
0.8374681,"wald","Group:Time","g__Bacteroides"
0.5281969,"aov","Group","g__Bacteroides"
2.721403e-05,"aov","Time","g__Bacteroides"
0.8346962,"aov","Group:Time","g__Bacteroides"
0.5336928,"aov.mod","Group","g__Bacteroides"
0.002228402,"wald.time","Placebo","g__Bacteroides"
0.0009304943,"wald.time","Drug","g__Bacteroides"
0.01012376,"aov.time","Placebo","g__Bacteroides"
0.003346203,"aov.time","Drug","g__Bacteroides"
0.5105655,"wald","Group","g__Bifidobacterium"
0.5335401,"wald","Time","g__Bifidobacterium"
0.8111505,"wald","Group:Time","g__Bifidobacterium"
0.5105655,"aov","Group","g__Bifidobacterium"
0.5389935,"aov","Time","g__Bifidobacterium"
0.8133806,"aov","Group:Time","g__Bifidobacterium"
0.5159917,"aov.mod","Group","g__Bifidobacterium"
0.4825691,"wald.time","Placebo","g__Bifidobacterium"
0.8864839,"wald.time","Drug","g__Bifidobacterium"
0.4746038,"aov.time","Placebo","g__Bifidobacterium"
0.8983009,"aov.time","Drug","g__Bifidobacterium"
0.12494604,"wald","Group","g__Blautia"
0.08769376,"wald","Time","g__Blautia"
0.80874373,"wald","Group:Time","g__Blautia"
0.12494604,"aov","Group","g__Blautia"
0.08921307,"aov","Time","g__Blautia"
0.73595238,"aov","Group:Time","g__Blautia"
0.13581272,"aov.mod","Group","g__Blautia"
0.48394913,"wald.time","Placebo","g__Blautia"
0.10629713,"wald.time","Drug","g__Blautia"
0.45542767,"aov.time","Placebo","g__Blautia"
0.14507734,"aov.time","Drug","g__Blautia"
0.522992025,"wald","Group","g__Clostridium"
0.176991937,"wald","Time","g__Clostridium"
0.00303044,"wald","Group:Time","g__Clostridium"
0.522992025,"aov","Group","g__Clostridium"
