"taxon","aov_Group_fdr","aov_Group:Time_fdr","aov_Time_fdr","aov.mod_Group_fdr","aov.time_Drug_fdr","aov.time_Placebo_fdr","wald_Group_fdr","wald_Group:Time_fdr","wald_Time_fdr","wald.time_Drug_fdr","wald.time_Placebo_fdr"
"g__Akkermansia",0.159792822,0.8279464275,0.390686359846154,0.257317056,0.662807683384615,0.298873881,0.159792822,0.8374681,0.2316197565,0.4496995548,0.0999258705
"g__Bacteroides",0.70411872,0.8346962,0.00048985254,0.70914588,0.039418146,0.06074256,0.70411872,0.8374681,0.000103238964,0.0167488974,0.010027809
"g__Bifidobacterium",0.70411872,0.8346962,0.692991642857143,0.70914588,0.8983009,0.57949116,0.70411872,0.8374681,0.685980128571429,0.8864839,0.62222031
"g__Blautia",0.458854585714286,0.8279464275,0.17842614,0.485715625714286,0.3608126775,0.57949116,0.458854585714286,0.8374681,0.157848768,0.301890011142857,0.62222031
"g__Clostridium",0.70411872,0.388114056,0.390686359846154,0.70914588,0.3608126775,0.140601096,0.70411872,0.05454792,0.245065758923077,0.4496995548,0.016072188
"g__Collinsella",0.91913591,0.8279464275,0.04938321,0.91990562,0.07636008,0.57949116,0.91913591,0.8374681,0.05848812,0.11799912,0.633397425882353
"g__Coprococcus",0.712839705882353,0.8279464275,0.168367782857143,0.716619176470588,0.3608126775,0.357697332,0.712839705882353,0.8374681,0.03031269,0.295735428,0.173920302
"g__Dorea",0.458854585714286,0.8279464275,0.390686359846154,0.485715625714286,0.8983009,0.35072044,0.458854585714286,0.8374681,0.226761823636364,0.8864839,0.13533044
"g__Enterococcus",0.458854585714286,0.8279464275,0.020747916,0.485715625714286,0.4374446,0.093115575,0.458854585714286,0.8374681,0.008724348,0.319427775,1.75390776e-05
"g__Escherichia",0.70411872,0.8279464275,0.021190077,0.70914588,0.3608126775,0.106409376,0.70411872,0.8374681,0.0107341632,0.301890011142857,0.0494684974285714
"g__Faecalibacterium",0.70411872,0.8279464275,0.191477286,0.70914588,0.3608126775,0.57949116,0.70411872,0.8374681,0.05848812,0.120725775,0.604017915
"g__Lactobacillus",0.33752619,0.8279464275,0.7170193125,0.42179886,0.662807683384615,0.93087365,0.33752619,0.8374681,0.746792532,0.67048884,0.92432252
"g__Prevotella",0.70411872,0.8279464275,0.7170193125,0.70914588,0.662807683384615,0.57949116,0.70411872,0.8374681,0.7951303125,0.589077,0.336605890909091
"g__Roseburia",0.70411872,0.8279464275,0.0279138456,0.70914588,0.662807683384615,0.06074256,0.70411872,0.8374681,0.0107341632,0.593483934,0.0102756888
"g__Ruminococcus_L",0.458854585714286,0.8279464275,0.00070707546,0.485715625714286,0.039418146,0.058529466,0.458854585714286,0.8374681,0.00018509544,0.041079276,0.00077312943
"g__Ruminococcus_R",0.70411872,0.8279464275,0.17842614,0.70914588,0.6820549875,0.140601096,0.70411872,0.8374681,0.05848812,0.607124492307692,0.010027809
"g__Streptococcus",0.712839705882353,0.8279464275,0.98887653,0.716619176470588,0.6820549875,0.724608,0.712839705882353,0.8374681,0.98910894,0.8596368,0.633397425882353
"g__Veillonella",0.458854585714286,0.8279464275,0.98887653,0.485715625714286,0.6820549875,0.642814065,0.458854585714286,0.8374681,0.98910894,0.68237832,0.633397425882353
