"","pairs","F.Model","R2","p.value","p.adjusted"
"1","Placebo_0 vs Placebo_4",0.899106085371509,0.036109974482166,0.666,0.908181818181818
"2","Placebo_0 vs Placebo_8",1.01774270604579,0.0423746194012481,0.439,0.731666666666667
"3","Placebo_0 vs Drug_0",0.968057798311565,0.0372787909604278,0.516,0.774
"4","Placebo_0 vs Drug_4",1.08922515895367,0.0417500003283867,0.243,0.6075
"5","Placebo_0 vs Drug_8",1.53860837168501,0.0627015333705884,0.017,0.135
"6","Placebo_4 vs Placebo_8",0.748410844355701,0.0290662926298521,0.865,0.987
"7","Placebo_4 vs Drug_0",1.39970695311207,0.0492859646553038,0.027,0.135
"8","Placebo_4 vs Drug_4",1.04963808277789,0.0374207353292859,0.353,0.661875
"9","Placebo_4 vs Drug_8",1.51298006616348,0.0570656358654447,0.025,0.135
"10","Placebo_8 vs Drug_0",1.15552985191812,0.0425522852332231,0.132,0.495
"11","Placebo_8 vs Drug_4",0.75884280989125,0.0283585809477063,0.981,0.987
"12","Placebo_8 vs Drug_8",0.846260351469097,0.0340598681450691,0.845,0.987
"13","Drug_0 vs Drug_4",1.07018673899013,0.0368138928242503,0.303,0.649285714285714
"14","Drug_0 vs Drug_8",1.14539613394033,0.042194857952661,0.195,0.585
"15","Drug_4 vs Drug_8",0.652782421057095,0.0244920928233505,0.987,0.987
