"fdr_pval","label","taxon"
0.6822851,"0_Drug - 0_Placebo","f__Enterobacteriaceae"
0.31399653,"0_Drug - 4_Drug","f__Enterobacteriaceae"
0.41678544,"0_Placebo - 4_Drug","f__Enterobacteriaceae"
0.03192936,"0_Drug - 4_Placebo","f__Enterobacteriaceae"
0.15794992,"0_Placebo - 4_Placebo","f__Enterobacteriaceae"
0.40070888,"4_Drug - 4_Placebo","f__Enterobacteriaceae"
0.3702469,"0_Drug - 8_Drug","f__Enterobacteriaceae"
0.49178165,"0_Placebo - 8_Drug","f__Enterobacteriaceae"
0.88716002,"4_Drug - 8_Drug","f__Enterobacteriaceae"
0.38674533,"4_Placebo - 8_Drug","f__Enterobacteriaceae"
0.42378061,"0_Drug - 8_Placebo","f__Enterobacteriaceae"
0.64635117,"0_Placebo - 8_Placebo","f__Enterobacteriaceae"
0.77896427,"4_Drug - 8_Placebo","f__Enterobacteriaceae"
0.32085585,"4_Placebo - 8_Placebo","f__Enterobacteriaceae"
0.84515401,"8_Drug - 8_Placebo","f__Enterobacteriaceae"
0.468113,"0_Drug - 0_Placebo","f__Enterococcaceae"
0.9235078,"0_Drug - 4_Drug","f__Enterococcaceae"
0.4604455,"0_Placebo - 4_Drug","f__Enterococcaceae"
0.414002,"0_Drug - 4_Placebo","f__Enterococcaceae"
0.9289704,"0_Placebo - 4_Placebo","f__Enterococcaceae"
0.3791679,"4_Drug - 4_Placebo","f__Enterococcaceae"
0.3542725,"0_Drug - 8_Drug","f__Enterococcaceae"
0.1896413,"0_Placebo - 8_Drug","f__Enterococcaceae"
0.3779326,"4_Drug - 8_Drug","f__Enterococcaceae"
0.1161474,"4_Placebo - 8_Drug","f__Enterococcaceae"
0.4842711,"0_Drug - 8_Placebo","f__Enterococcaceae"
0.1424346,"0_Placebo - 8_Placebo","f__Enterococcaceae"
0.4617963,"4_Drug - 8_Placebo","f__Enterococcaceae"
0.1321107,"4_Placebo - 8_Placebo","f__Enterococcaceae"
0.8734696,"8_Drug - 8_Placebo","f__Enterococcaceae"
0.6040365,"0_Drug - 0_Placebo","f__Lachnospiraceae"
0.467325,"0_Drug - 4_Drug","f__Lachnospiraceae"
0.2936412,"0_Placebo - 4_Drug","f__Lachnospiraceae"
0.4563527,"0_Drug - 4_Placebo","f__Lachnospiraceae"
0.6805529,"0_Placebo - 4_Placebo","f__Lachnospiraceae"
0.1535021,"4_Drug - 4_Placebo","f__Lachnospiraceae"
0.3194788,"0_Drug - 8_Drug","f__Lachnospiraceae"
0.1576362,"0_Placebo - 8_Drug","f__Lachnospiraceae"
0.6212429,"4_Drug - 8_Drug","f__Lachnospiraceae"
0.0722665,"4_Placebo - 8_Drug","f__Lachnospiraceae"
0.685284,"0_Drug - 8_Placebo","f__Lachnospiraceae"
0.4367535,"0_Placebo - 8_Placebo","f__Lachnospiraceae"
0.7064109,"4_Drug - 8_Placebo","f__Lachnospiraceae"
0.2817371,"4_Placebo - 8_Placebo","f__Lachnospiraceae"
0.4844212,"8_Drug - 8_Placebo","f__Lachnospiraceae"
0.33757909,"0_Drug - 0_Placebo","f__Verrucomicrobiaceae"
0.59160208,"0_Drug - 4_Drug","f__Verrucomicrobiaceae"
0.63428292,"0_Placebo - 4_Drug","f__Verrucomicrobiaceae"
0.07768326,"0_Drug - 4_Placebo","f__Verrucomicrobiaceae"
0.48018135,"0_Placebo - 4_Placebo","f__Verrucomicrobiaceae"
0.23086309,"4_Drug - 4_Placebo","f__Verrucomicrobiaceae"
0.67042501,"0_Drug - 8_Drug","f__Verrucomicrobiaceae"
0.2547546,"0_Placebo - 8_Drug","f__Verrucomicrobiaceae"
0.39623036,"4_Drug - 8_Drug","f__Verrucomicrobiaceae"
0.04019633,"4_Placebo - 8_Drug","f__Verrucomicrobiaceae"
0.04967272,"0_Drug - 8_Placebo","f__Verrucomicrobiaceae"
0.33961768,"0_Placebo - 8_Placebo","f__Verrucomicrobiaceae"
0.12885971,"4_Drug - 8_Placebo","f__Verrucomicrobiaceae"
0.70741933,"4_Placebo - 8_Placebo","f__Verrucomicrobiaceae"
0.03616497,"8_Drug - 8_Placebo","f__Verrucomicrobiaceae"
