"fdr_pval","label","taxon"
0.58031356,"0_Drug - 0_Placebo","g__Bacteroides"
0.04607425,"0_Drug - 4_Drug","g__Bacteroides"
0.22204307,"0_Placebo - 4_Drug","g__Bacteroides"
0.049866,"0_Drug - 4_Placebo","g__Bacteroides"
0.23351521,"0_Placebo - 4_Placebo","g__Bacteroides"
0.8075005,"4_Drug - 4_Placebo","g__Bacteroides"
0.32707828,"0_Drug - 8_Drug","g__Bacteroides"
0.58817467,"0_Placebo - 8_Drug","g__Bacteroides"
0.4850115,"4_Drug - 8_Drug","g__Bacteroides"
0.38184476,"4_Placebo - 8_Drug","g__Bacteroides"
0.20379406,"0_Drug - 8_Placebo","g__Bacteroides"
0.48923111,"0_Placebo - 8_Placebo","g__Bacteroides"
0.59226568,"4_Drug - 8_Placebo","g__Bacteroides"
0.52099696,"4_Placebo - 8_Placebo","g__Bacteroides"
0.73898843,"8_Drug - 8_Placebo","g__Bacteroides"
0.7260631,"0_Drug - 0_Placebo","g__Collinsella"
0.1705658,"0_Drug - 4_Drug","g__Collinsella"
0.3842648,"0_Placebo - 4_Drug","g__Collinsella"
0.3581176,"0_Drug - 4_Placebo","g__Collinsella"
0.7708312,"0_Placebo - 4_Placebo","g__Collinsella"
0.8343102,"4_Drug - 4_Placebo","g__Collinsella"
0.2505456,"0_Drug - 8_Drug","g__Collinsella"
0.6616088,"0_Placebo - 8_Drug","g__Collinsella"
0.7890499,"4_Drug - 8_Drug","g__Collinsella"
0.9861221,"4_Placebo - 8_Drug","g__Collinsella"
0.2741157,"0_Drug - 8_Placebo","g__Collinsella"
0.6496953,"0_Placebo - 8_Placebo","g__Collinsella"
0.7766494,"4_Drug - 8_Placebo","g__Collinsella"
0.9464524,"4_Placebo - 8_Placebo","g__Collinsella"
1,"8_Drug - 8_Placebo","g__Collinsella"
0.4102048,"0_Drug - 0_Placebo","g__Enterococcus"
0.9052618,"0_Drug - 4_Drug","g__Enterococcus"
0.44899,"0_Placebo - 4_Drug","g__Enterococcus"
0.4128718,"0_Drug - 4_Placebo","g__Enterococcus"
0.9183042,"0_Placebo - 4_Placebo","g__Enterococcus"
0.3784096,"4_Drug - 4_Placebo","g__Enterococcus"
0.465017,"0_Drug - 8_Drug","g__Enterococcus"
0.1682481,"0_Placebo - 8_Drug","g__Enterococcus"
0.4094627,"4_Drug - 8_Drug","g__Enterococcus"
0.1066293,"4_Placebo - 8_Drug","g__Enterococcus"
0.3790821,"0_Drug - 8_Placebo","g__Enterococcus"
0.1332305,"0_Placebo - 8_Placebo","g__Enterococcus"
0.4149646,"4_Drug - 8_Placebo","g__Enterococcus"
0.1275383,"4_Placebo - 8_Placebo","g__Enterococcus"
0.8591274,"8_Drug - 8_Placebo","g__Enterococcus"
0.5706561,"0_Drug - 0_Placebo","g__Escherichia"
0.3376886,"0_Drug - 4_Drug","g__Escherichia"
0.1205502,"0_Placebo - 4_Drug","g__Escherichia"
0.3571765,"0_Drug - 4_Placebo","g__Escherichia"
0.186615,"0_Placebo - 4_Placebo","g__Escherichia"
0.8909908,"4_Drug - 4_Placebo","g__Escherichia"
0.5555355,"0_Drug - 8_Drug","g__Escherichia"
