"pval","test","variable","taxon"
0.802702,"wald","Group","Otu00001"
0.8249455,"wald","Time","Otu00001"
0.3676459,"wald","Group:Time","Otu00001"
0.802702,"aov","Group","Otu00001"
0.7652228,"aov","Time","Otu00001"
0.2741639,"aov","Group:Time","Otu00001"
0.8046936,"aov.mod","Group","Otu00001"
0.6252971,"wald.time","Placebo","Otu00001"
0.2054077,"wald.time","Drug","Otu00001"
0.6875664,"aov.time","Placebo","Otu00001"
0.2666444,"aov.time","Drug","Otu00001"
0.1275856,"wald","Group","Otu00002"
0.005099872,"wald","Time","Otu00002"
0.6446177,"wald","Group:Time","Otu00002"
0.1275856,"aov","Group","Otu00002"
0.006344004,"aov","Time","Otu00002"
0.6374097,"aov","Group:Time","Otu00002"
0.1384203,"aov.mod","Group","Otu00002"
9.251952e-07,"wald.time","Placebo","Otu00002"
0.3844801,"wald.time","Drug","Otu00002"
0.02098773,"aov.time","Placebo","Otu00002"
0.3026525,"aov.time","Drug","Otu00002"
0.0892154,"wald","Group","Otu00003"
1.951326e-05,"wald","Time","Otu00003"
0.9134668,"wald","Group:Time","Otu00003"
0.0892154,"aov","Group","Otu00003"
2.970803e-05,"aov","Time","Otu00003"
0.9153607,"aov","Group:Time","Otu00003"
0.1011998,"aov.mod","Group","Otu00003"
0.0007694717,"wald.time","Placebo","Otu00003"
0.01181027,"wald.time","Drug","Otu00003"
0.0003695965,"aov.time","Placebo","Otu00003"
0.0362337,"aov.time","Drug","Otu00003"
0.006679535,"wald","Group","Otu00004"
0.123397652,"wald","Time","Otu00004"
0.57109005,"wald","Group:Time","Otu00004"
0.006679535,"aov","Group","Otu00004"
0.13803458,"aov","Time","Otu00004"
0.596014043,"aov","Group:Time","Otu00004"
0.011114955,"aov.mod","Group","Otu00004"
0.752640846,"wald.time","Placebo","Otu00004"
0.068547782,"wald.time","Drug","Otu00004"
0.715450648,"aov.time","Placebo","Otu00004"
0.067104134,"aov.time","Drug","Otu00004"
0.54952668,"wald","Group","Otu00005"
0.002433226,"wald","Time","Otu00005"
0.701136711,"wald","Group:Time","Otu00005"
0.54952668,"aov","Group","Otu00005"
0.004708906,"aov","Time","Otu00005"
0.704862808,"aov","Group:Time","Otu00005"
0.554195419,"aov.mod","Group","Otu00005"
0.019237749,"wald.time","Placebo","Otu00005"
0.117401671,"wald.time","Drug","Otu00005"
0.02955816,"aov.time","Placebo","Otu00005"
0.135575506,"aov.time","Drug","Otu00005"
0.4744547,"wald","Group","Otu00006"
0.0006346827,"wald","Time","Otu00006"
0.5139199,"wald","Group:Time","Otu00006"
0.4744547,"aov","Group","Otu00006"
0.003793441,"aov","Time","Otu00006"
0.4232305,"aov","Group:Time","Otu00006"
0.4802005,"aov.mod","Group","Otu00006"
0.03733757,"wald.time","Placebo","Otu00006"
1.699348e-07,"wald.time","Drug","Otu00006"
0.1606992,"aov.time","Placebo","Otu00006"
0.004525127,"aov.time","Drug","Otu00006"
0.1549713,"wald","Group","Otu00007"
0.7229408,"wald","Time","Otu00007"
0.2303099,"wald","Group:Time","Otu00007"
0.1549713,"aov","Group","Otu00007"
0.6329456,"aov","Time","Otu00007"
0.1492203,"aov","Group:Time","Otu00007"
0.1656471,"aov.mod","Group","Otu00007"
0.2092848,"wald.time","Placebo","Otu00007"
0.7992309,"wald.time","Drug","Otu00007"
0.1527248,"aov.time","Placebo","Otu00007"
0.7070054,"aov.time","Drug","Otu00007"
0.831755197,"wald","Group","Otu00008"
0.0139134923,"wald","Time","Otu00008"
0.5209532679,"wald","Group:Time","Otu00008"
0.831755197,"aov","Group","Otu00008"
0.0507225771,"aov","Time","Otu00008"
0.6239262866,"aov","Group:Time","Otu00008"
0.8333589104,"aov.mod","Group","Otu00008"
0.0009789927,"wald.time","Placebo","Otu00008"
0.4048531758,"wald.time","Drug","Otu00008"
0.0919722356,"aov.time","Placebo","Otu00008"
0.3038295436,"aov.time","Drug","Otu00008"
0.1845305,"wald","Group","Otu00009"
0.358554,"wald","Time","Otu00009"
0.5896414,"wald","Group:Time","Otu00009"
0.1845305,"aov","Group","Otu00009"
0.3236172,"aov","Time","Otu00009"
0.4356857,"aov","Group:Time","Otu00009"
0.1955054,"aov.mod","Group","Otu00009"
0.1353915,"wald.time","Placebo","Otu00009"
0.6633291,"wald.time","Drug","Otu00009"
0.1925709,"aov.time","Placebo","Otu00009"
0.7746202,"aov.time","Drug","Otu00009"
0.67276898,"wald","Group","Otu00010"
0.03173424,"wald","Time","Otu00010"
0.68689683,"wald","Group:Time","Otu00010"
0.67276898,"aov","Group","Otu00010"
0.1013855,"aov","Time","Otu00010"
0.63214251,"aov","Group:Time","Otu00010"
0.67592737,"aov.mod","Group","Otu00010"
0.09397291,"wald.time","Placebo","Otu00010"
0.16582373,"wald.time","Drug","Otu00010"
0.31334202,"aov.time","Placebo","Otu00010"
0.14428914,"aov.time","Drug","Otu00010"
0.64851396,"wald","Group","Otu00011"
0.12872377,"wald","Time","Otu00011"
0.07069789,"wald","Group:Time","Otu00011"
0.64851396,"aov","Group","Otu00011"
0.11394928,"aov","Time","Otu00011"
0.17707949,"aov","Group:Time","Otu00011"
0.65301212,"aov.mod","Group","Otu00011"
0.17563035,"wald.time","Placebo","Otu00011"
0.09819878,"wald.time","Drug","Otu00011"
0.1688189,"aov.time","Placebo","Otu00011"
0.12582371,"aov.time","Drug","Otu00011"
0.83542787,"wald","Group","Otu00012"
0.09576203,"wald","Time","Otu00012"
0.52706425,"wald","Group:Time","Otu00012"
0.83542787,"aov","Group","Otu00012"
0.10208903,"aov","Time","Otu00012"
0.49379748,"aov","Group:Time","Otu00012"
0.83688117,"aov.mod","Group","Otu00012"
0.45843743,"wald.time","Placebo","Otu00012"
0.15907209,"wald.time","Drug","Otu00012"
0.51080201,"aov.time","Placebo","Otu00012"
0.09567329,"aov.time","Drug","Otu00012"
0.95553052,"wald","Group","Otu00013"
0.05894073,"wald","Time","Otu00013"
