"","Comparison","SIMPER","OTU"
"1","Placebo_0_Placebo_4",0.136259906548904,"unclassified"
"2","Placebo_0_Placebo_4",0.115843638979373,"g__Streptococcus"
"3","Placebo_0_Placebo_4",0.092866609559508,"g__Enterococcus"
"4","Placebo_0_Placebo_4",0.088758308395896,"g__Blautia"
"5","Placebo_0_Placebo_4",0.078250362569,"g__Lactobacillus"
"6","Placebo_0_Placebo_4",0.0647146896274781,"g__Akkermansia"
"7","Placebo_0_Placebo_4",0.052855770531687,"g__Bifidobacterium"
"8","Placebo_0_Placebo_4",0.0494212245574209,"g__Clostridium"
"9","Placebo_0_Placebo_4",0.0378178613948821,"g__Dorea"
"10","Placebo_0_Placebo_4",0.036941643238992,"g__Ruminococcus_L"
"11","Placebo_0_Placebo_4",0.034832650868469,"g__Bacteroides"
"12","Placebo_0_Placebo_4",0.03144727556518,"g__Escherichia"
"13","Placebo_0_Placebo_4",0.028174434698213,"g__Prevotella"
"14","Placebo_0_Placebo_4",0.019613036071923,"g__Coprococcus"
"15","Placebo_0_Placebo_4",0.018667926346305,"g__Ruminococcus_R"
"16","Placebo_0_Placebo_4",0.0108021487800221,"g__Collinsella"
"17","Placebo_0_Placebo_4",0.00853003992007995,"g__Faecalibacterium"
"18","Placebo_0_Placebo_4",0.00705640127673701,"g__Eubacterium"
"19","Placebo_0_Placebo_4",0.00676124256211297,"g__Acidaminococcus"
"20","Placebo_0_Placebo_4",0.00670685765958401,"g__Sarcina"
"21","Placebo_0_Placebo_4",0.00649452766842107,"g__Roseburia"
"22","Placebo_0_Placebo_4",0.00570104873518995,"g__Peptoniphilus"
"23","Placebo_0_Placebo_4",0.00568488133290801,"g__Veillonella"
"24","Placebo_0_Placebo_4",0.004683996511192,"g__Oscillospira"
"25","Placebo_0_Placebo_4",0.00372658765732303,"g__SMB53"
"26","Placebo_0_Placebo_4",0.00371934648055294,"g__Dialister"
"27","Placebo_0_Placebo_4",0.00341021917498896,"g__Actinomyces"
"28","Placebo_0_Placebo_4",0.00322469966226402,"g__Subdoligranulum"
"29","Placebo_0_Placebo_4",0.00310037286197207,"g__Alistipes"
"30","Placebo_0_Placebo_4",0.003020129140899,"g__Pseudoramibacter_Eubacterium"
"31","Placebo_0_Placebo_4",0.00294251517674393,"g__Succiniclasticum"
"32","Placebo_0_Placebo_4",0.00278286366471903,"g__Treponema"
"33","Placebo_0_Placebo_4",0.00226109319119905,"g__Phascolarctobacterium"
"34","Placebo_0_Placebo_4",0.00224826423842195,"g__Parabacteroides"
"35","Placebo_0_Placebo_4",0.00193031298829405,"g__Eggerthella"
"36","Placebo_0_Placebo_4",0.00187481604582596,"g__Lactococcus"
"37","Placebo_0_Placebo_4",0.00184706137128998,"g__Anaerococcus"
"38","Placebo_0_Placebo_4",0.00119971321371404,"g__Coprobacillus"
"39","Placebo_0_Placebo_4",0.00112776166899398,"g__CF231"
"40","Placebo_0_Placebo_4",0.00102385771535207,"g__Alloscardovia"
"41","Placebo_0_Placebo_4",0.00101660281987193,"g__Lachnospira"
"42","Placebo_0_Placebo_4",0.000805323242195066,"g__Butyrivibrio"
"43","Placebo_0_Placebo_4",0.000705239193149909,"g__YRC22"
"44","Placebo_0_Placebo_4",0.000669799524332992,"g__Turicibacter"
"45","Placebo_0_Placebo_4",0.000564229263329108,"g__Sutterella"
"46","Placebo_0_Placebo_4",0.000525246783311895,"g__Finegoldia"
"47","Placebo_0_Placebo_4",0.000472152687147065,"g__Rothia"
"48","Placebo_0_Placebo_4",0.000461186551331982,"g__Porphyromonas"
"49","Placebo_0_Placebo_4",0.000425450079276968,"g__Lachnobacterium"
"50","Placebo_0_Placebo_4",0.000364329410780018,"g__Butyricicoccus"
"51","Placebo_0_Placebo_4",0.00033563098934497,"g__Staphylococcus"
"52","Placebo_0_Placebo_4",0.000294493387440031,"g__Varibaculum"
"53","Placebo_0_Placebo_4",0.000289766460391028,"g__Mogibacterium"
"54","Placebo_0_Placebo_4",0.000289629686253012,"g__Megasphaera"
"55","Placebo_0_Placebo_4",0.000247622688991922,"g__Oribacterium"
"56","Placebo_0_Placebo_4",0.00024691382116504,"g__Adlercreutzia"
"57","Placebo_0_Placebo_4",0.000243023440212986,"g__Fibrobacter"
"58","Placebo_0_Placebo_4",0.000199997601200042,"g__Epulopiscium"
"59","Placebo_0_Placebo_4",0.000194457748793009,"g__Proteus"
"60","Placebo_0_Placebo_4",0.00019126914012102,"g__Atopobium"
"61","Placebo_0_Placebo_4",0.00018584382512199,"g__Pseudobutyrivibrio"
"62","Placebo_0_Placebo_4",0.000180906951943949,"g__Scardovia"
"63","Placebo_0_Placebo_4",0.000144446424163003,"g__Anaerotruncus"
"64","Placebo_0_Placebo_4",0.000142045881491026,"g__Christensenella"
"65","Placebo_0_Placebo_4",0.000133318684986006,"g__Gemella"
"66","Placebo_0_Placebo_4",0.000133290038246026,"g__Peptococcus"
"67","Placebo_0_Placebo_4",0.000119124936589943,"g__Shuttleworthia"
"68","Placebo_0_Placebo_4",0.000116679115664042,"g__Anaerostipes"
"69","Placebo_0_Placebo_4",0.000109600204558968,"g__SHD.231"
"70","Placebo_0_Placebo_4",9.04705325700528e-05,"g__Anaerofustis"
"71","Placebo_0_Placebo_4",8.89267365149493e-05,"g__Desulfovibrio"
"72","Placebo_0_Placebo_4",8.33532624070488e-05,"g__Holdemania"
"73","Placebo_0_Placebo_4",7.77514122269896e-05,"g__Campylobacter"
"74","Placebo_0_Placebo_4",7.69592099839622e-05,"g__Fusobacterium"
"75","Placebo_0_Placebo_4",6.90564370849911e-05,"g__Anaerorhabdus"
