"","Comparison","SIMPER","OTU"
"1","Placebo_0_Placebo_4",0.101833796204344,"Otu00001"
"2","Placebo_0_Placebo_4",0.077525634512339,"Otu00006"
"3","Placebo_0_Placebo_4",0.06553154690095,"Otu00005"
"4","Placebo_0_Placebo_4",0.060856484519527,"Otu00002"
"5","Placebo_0_Placebo_4",0.042427812080947,"Otu00032"
"6","Placebo_0_Placebo_4",0.040281258164022,"Otu00007"
"7","Placebo_0_Placebo_4",0.03752753413392,"Otu00019"
"8","Placebo_0_Placebo_4",0.0333212115989791,"Otu00024"
"9","Placebo_0_Placebo_4",0.031766835847941,"Otu00010"
"10","Placebo_0_Placebo_4",0.028718415346307,"Otu00008"
"11","Placebo_0_Placebo_4",0.0279395008989179,"Otu00027"
"12","Placebo_0_Placebo_4",0.027662332402957,"Otu00004"
"13","Placebo_0_Placebo_4",0.024893981084709,"Otu00003"
"14","Placebo_0_Placebo_4",0.024041668276636,"Otu00016"
"15","Placebo_0_Placebo_4",0.017759546677619,"Otu00015"
"16","Placebo_0_Placebo_4",0.015400054413792,"Otu00017"
"17","Placebo_0_Placebo_4",0.014749756886751,"Otu00064"
"18","Placebo_0_Placebo_4",0.014315764580893,"Otu00011"
"19","Placebo_0_Placebo_4",0.01336627246203,"Otu00025"
"20","Placebo_0_Placebo_4",0.0111298320493389,"Otu00054"
"21","Placebo_0_Placebo_4",0.0104851993621521,"Otu00012"
"22","Placebo_0_Placebo_4",0.00908513161250102,"Otu00023"
"23","Placebo_0_Placebo_4",0.0088438537200819,"Otu00029"
"24","Placebo_0_Placebo_4",0.00844133818807502,"Otu00021"
"25","Placebo_0_Placebo_4",0.00814359477919702,"Otu00009"
"26","Placebo_0_Placebo_4",0.00750413228410207,"Otu00013"
"27","Placebo_0_Placebo_4",0.00729568559683791,"Otu00020"
"28","Placebo_0_Placebo_4",0.00710149621539402,"Otu00034"
"29","Placebo_0_Placebo_4",0.00675126288802197,"Otu00036"
"30","Placebo_0_Placebo_4",0.00663241336221609,"Otu00069"
"31","Placebo_0_Placebo_4",0.0063269117241429,"Otu00014"
"32","Placebo_0_Placebo_4",0.00610317350452605,"Otu00065"
"33","Placebo_0_Placebo_4",0.006087595889532,"Otu00073"
"34","Placebo_0_Placebo_4",0.00599511753610205,"Otu00030"
"35","Placebo_0_Placebo_4",0.005677816829737,"Otu00059"
"36","Placebo_0_Placebo_4",0.00565969097836694,"Otu00044"
"37","Placebo_0_Placebo_4",0.00514906653682301,"Otu00018"
"38","Placebo_0_Placebo_4",0.00490842051448404,"Otu00038"
"39","Placebo_0_Placebo_4",0.00468015213551998,"Otu00039"
"40","Placebo_0_Placebo_4",0.00420439580515297,"Otu00046"
"41","Placebo_0_Placebo_4",0.00403073743235105,"Otu00076"
"42","Placebo_0_Placebo_4",0.00383891426580196,"Otu00098"
"43","Placebo_0_Placebo_4",0.00377796503368899,"Otu00026"
"44","Placebo_0_Placebo_4",0.00374162545648704,"Otu00028"
"45","Placebo_0_Placebo_4",0.00370725429375796,"Otu00083"
"46","Placebo_0_Placebo_4",0.00354173532511404,"Otu00106"
"47","Placebo_0_Placebo_4",0.00312588073712594,"Otu00089"
"48","Placebo_0_Placebo_4",0.00309556180526305,"Otu00157"
"49","Placebo_0_Placebo_4",0.00304132217060094,"Otu00063"
"50","Placebo_0_Placebo_4",0.00285344422383005,"Otu00031"
"51","Placebo_0_Placebo_4",0.00277729744388899,"Otu00040"
"52","Placebo_0_Placebo_4",0.00277597903871396,"Otu00061"
"53","Placebo_0_Placebo_4",0.00271712007193203,"Otu00048"
"54","Placebo_0_Placebo_4",0.00268631092777805,"Otu00051"
"55","Placebo_0_Placebo_4",0.00262298009065698,"Otu00043"
"56","Placebo_0_Placebo_4",0.00253232041333196,"Otu00056"
"57","Placebo_0_Placebo_4",0.00246151393018701,"Otu00042"
"58","Placebo_0_Placebo_4",0.002397713670104,"Otu00033"
"59","Placebo_0_Placebo_4",0.00238249797831003,"Otu00067"
"60","Placebo_0_Placebo_4",0.00232408763346303,"Otu00055"
"61","Placebo_0_Placebo_4",0.00226527036019197,"Otu00111"
"62","Placebo_0_Placebo_4",0.00221319022160005,"Otu00037"
"63","Placebo_0_Placebo_4",0.00208581205569291,"Otu00047"
"64","Placebo_0_Placebo_4",0.00199401052033898,"Otu00087"
"65","Placebo_0_Placebo_4",0.00198978155905005,"Otu00121"
"66","Placebo_0_Placebo_4",0.00191160776074994,"Otu00062"
"67","Placebo_0_Placebo_4",0.00173884404605607,"Otu00035"
"68","Placebo_0_Placebo_4",0.00173321322036102,"Otu00110"
"69","Placebo_0_Placebo_4",0.00173252913880395,"Otu00097"
"70","Placebo_0_Placebo_4",0.00172043198882699,"Otu00075"
"71","Placebo_0_Placebo_4",0.00171847390649305,"Otu00092"
"72","Placebo_0_Placebo_4",0.00165925947913603,"Otu00079"
"73","Placebo_0_Placebo_4",0.00154480702798199,"Otu00022"
"74","Placebo_0_Placebo_4",0.00145534431253591,"Otu00114"
"75","Placebo_0_Placebo_4",0.0014473299320541,"Otu00078"
"76","Placebo_0_Placebo_4",0.00142949786676594,"Otu00045"
"77","Placebo_0_Placebo_4",0.00131198603236604,"Otu00130"
"78","Placebo_0_Placebo_4",0.00129216132509202,"Otu00117"
"79","Placebo_0_Placebo_4",0.00125969227933798,"Otu00156"
"80","Placebo_0_Placebo_4",0.00124582886578994,"Otu00074"
"81","Placebo_0_Placebo_4",0.00110021291496998,"Otu00057"
"82","Placebo_0_Placebo_4",0.00108873257798703,"Otu00143"
"83","Placebo_0_Placebo_4",0.00104480122051998,"Otu00128"
"84","Placebo_0_Placebo_4",0.00100098943073301,"Otu00093"
"85","Placebo_0_Placebo_4",0.000994773813677075,"Otu00147"
"86","Placebo_0_Placebo_4",0.00096272630069294,"Otu00112"
"87","Placebo_0_Placebo_4",0.000959614024913069,"Otu00152"
"88","Placebo_0_Placebo_4",0.000953210329437959,"Otu00050"
"89","Placebo_0_Placebo_4",0.000893327554699952,"Otu00096"
"90","Placebo_0_Placebo_4",0.000871086373327001,"Otu00120"
"91","Placebo_0_Placebo_4",0.000860399525083988,"Otu00179"
"92","Placebo_0_Placebo_4",0.000832277408927107,"Otu00188"
"93","Placebo_0_Placebo_4",0.000810132524366902,"Otu00109"
"94","Placebo_0_Placebo_4",0.000749453920880994,"Otu00085"
"95","Placebo_0_Placebo_4",0.000747564190478056,"Otu00103"
"96","Placebo_0_Placebo_4",0.00074555083486505,"Otu00123"
"97","Placebo_0_Placebo_4",0.000741952614776942,"Otu00274"
"98","Placebo_0_Placebo_4",0.000726821224331986,"Otu00082"
"99","Placebo_0_Placebo_4",0.000711925340589059,"Otu00119"
"100","Placebo_0_Placebo_4",0.000705462917370947,"Otu00072"
"101","Placebo_0_Placebo_4",0.000701826694588958,"Otu00071"
"102","Placebo_0_Placebo_4",0.000699941996081033,"Otu00194"
"103","Placebo_0_Placebo_4",0.000684430730981012,"Otu00177"
"104","Placebo_0_Placebo_4",0.000654160889828059,"Otu00080"
"105","Placebo_0_Placebo_4",0.000630687258545981,"Otu00207"
"106","Placebo_0_Placebo_4",0.000607139318051009,"Otu00084"
"107","Placebo_0_Placebo_4",0.000600958066204971,"Otu00227"
"108","Placebo_0_Placebo_4",0.000592516102148943,"Otu00131"
"109","Placebo_0_Placebo_4",0.00057827745100103,"Otu00127"
"110","Placebo_0_Placebo_4",0.000562886924615036,"Otu00041"
"111","Placebo_0_Placebo_4",0.000550279000662957,"Otu00060"
"112","Placebo_0_Placebo_4",0.000534690195054033,"Otu00081"
"113","Placebo_0_Placebo_4",0.000529922985143982,"Otu00094"
"114","Placebo_0_Placebo_4",0.000527362804150999,"Otu00070"
"115","Placebo_0_Placebo_4",0.000525457197840029,"Otu00205"
"116","Placebo_0_Placebo_4",0.000502162555058971,"Otu00104"
"117","Placebo_0_Placebo_4",0.000495811797698975,"Otu00145"
"118","Placebo_0_Placebo_4",0.000489416606191062,"Otu00144"
"119","Placebo_0_Placebo_4",0.000484339916652976,"Otu00181"
"120","Placebo_0_Placebo_4",0.000483715198366985,"Otu00099"
"121","Placebo_0_Placebo_4",0.000481648752047037,"Otu00154"
"122","Placebo_0_Placebo_4",0.000475532694565017,"Otu00209"
"123","Placebo_0_Placebo_4",0.000465114106699915,"Otu00102"
