"Comparison","SIMPER","taxon","level"
"Placebo_0_Placebo_4",0.101833796204344,"Otu00001","OTU"
"Placebo_0_Placebo_4",0.077525634512339,"Otu00006","OTU"
"Placebo_0_Placebo_4",0.06553154690095,"Otu00005","OTU"
"Placebo_0_Placebo_4",0.060856484519527,"Otu00002","OTU"
"Placebo_0_Placebo_4",0.042427812080947,"Otu00032","OTU"
"Placebo_0_Placebo_4",0.040281258164022,"Otu00007","OTU"
"Placebo_0_Placebo_4",0.03752753413392,"Otu00019","OTU"
"Placebo_0_Placebo_4",0.0333212115989791,"Otu00024","OTU"
"Placebo_0_Placebo_4",0.031766835847941,"Otu00010","OTU"
"Placebo_0_Placebo_4",0.028718415346307,"Otu00008","OTU"
"Placebo_0_Placebo_4",0.0279395008989179,"Otu00027","OTU"
"Placebo_0_Placebo_4",0.027662332402957,"Otu00004","OTU"
"Placebo_0_Placebo_4",0.024893981084709,"Otu00003","OTU"
"Placebo_0_Placebo_4",0.024041668276636,"Otu00016","OTU"
"Placebo_0_Placebo_8",0.0986594547000931,"Otu00001","OTU"
"Placebo_0_Placebo_8",0.0526429712950919,"Otu00002","OTU"
"Placebo_0_Placebo_8",0.050291340309548,"Otu00003","OTU"
"Placebo_0_Placebo_8",0.046256655089836,"Otu00006","OTU"
"Placebo_0_Placebo_8",0.042465088230951,"Otu00032","OTU"
"Placebo_0_Placebo_8",0.039361557625649,"Otu00007","OTU"
"Placebo_0_Placebo_8",0.035871077817029,"Otu00010","OTU"
"Placebo_0_Placebo_8",0.033400036726158,"Otu00024","OTU"
"Placebo_0_Placebo_8",0.028853843645791,"Otu00027","OTU"
"Placebo_0_Placebo_8",0.028494551181803,"Otu00004","OTU"
"Placebo_0_Placebo_8",0.02448163451459,"Otu00016","OTU"
"Placebo_0_Drug_0",0.0968616476340236,"Otu00002","OTU"
"Placebo_0_Drug_0",0.0794785147876624,"Otu00001","OTU"
"Placebo_0_Drug_0",0.036695957973149,"Otu00024","OTU"
"Placebo_0_Drug_0",0.035504579603944,"Otu00010","OTU"
"Placebo_0_Drug_0",0.035265984824337,"Otu00004","OTU"
"Placebo_0_Drug_0",0.030306674066705,"Otu00032","OTU"
"Placebo_0_Drug_0",0.029753604809507,"Otu00009","OTU"
"Placebo_0_Drug_0",0.028882450366955,"Otu00006","OTU"
"Placebo_0_Drug_0",0.027639874632637,"Otu00015","OTU"
"Placebo_0_Drug_0",0.026638830558948,"Otu00027","OTU"
"Placebo_0_Drug_0",0.026373941206373,"Otu00017","OTU"
"Placebo_0_Drug_0",0.0257911999571031,"Otu00011","OTU"
"Placebo_0_Drug_0",0.0246918507182889,"Otu00025","OTU"
"Placebo_0_Drug_0",0.023718786917814,"Otu00016","OTU"
"Placebo_4_Placebo_8",0.0822708020413419,"Otu00001","OTU"
"Placebo_4_Placebo_8",0.0777993356646861,"Otu00006","OTU"
"Placebo_4_Placebo_8",0.06633582759414,"Otu00005","OTU"
"Placebo_4_Placebo_8",0.062815196199111,"Otu00003","OTU"
"Placebo_4_Placebo_8",0.054917478511841,"Otu00007","OTU"
"Placebo_4_Placebo_8",0.048188138676682,"Otu00019","OTU"
"Placebo_4_Placebo_8",0.043873514738536,"Otu00004","OTU"
"Placebo_4_Placebo_8",0.03509583137723,"Otu00008","OTU"
"Placebo_4_Placebo_8",0.030787559139167,"Otu00010","OTU"
"Placebo_4_Placebo_8",0.028160379295719,"Otu00032","OTU"
"Placebo_4_Placebo_8",0.024440899916363,"Otu00002","OTU"
"Placebo_4_Placebo_8",0.020005605937638,"Otu00011","OTU"
"Placebo_4_Drug_4",0.0710782662063176,"Otu00001","OTU"
"Placebo_4_Drug_4",0.0678699571235414,"Otu00005","OTU"
"Placebo_4_Drug_4",0.065769246578759,"Otu00006","OTU"
"Placebo_4_Drug_4",0.060289214209896,"Otu00004","OTU"
"Placebo_4_Drug_4",0.048103787601438,"Otu00008","OTU"
"Placebo_4_Drug_4",0.042862530881448,"Otu00003","OTU"
"Placebo_4_Drug_4",0.040697009827357,"Otu00007","OTU"
"Placebo_4_Drug_4",0.037123101912399,"Otu00019","OTU"
"Placebo_4_Drug_4",0.028144513459233,"Otu00002","OTU"
"Placebo_4_Drug_4",0.026588912270604,"Otu00009","OTU"
"Placebo_4_Drug_4",0.025517190157465,"Otu00010","OTU"
"Placebo_4_Drug_4",0.0231144883928931,"Otu00016","OTU"
"Placebo_4_Drug_4",0.022678202159917,"Otu00013","OTU"
"Placebo_8_Drug_8",0.0881655195709267,"Otu00003","OTU"
"Placebo_8_Drug_8",0.0702922376051433,"Otu00001","OTU"
"Placebo_8_Drug_8",0.063947095022485,"Otu00004","OTU"
